2018rank,City,State[c],2010Census,White,Non_Hispanic_White,African_American,Asian,Other
152,Peoria,Arizona,154065,NA,NA,NA,NA,NA
153,Eugene,Oregon,156185,NA,NA,NA,NA,NA
154,Corona,California,152374,NA,NA,NA,NA,NA
155,Cary,North Carolina,135234,NA,NA,NA,NA,NA
156,Springfield,Missouri,159498,NA,NA,NA,NA,NA
157,Fort Collins,Colorado,143986,NA,NA,NA,NA,NA
158,Jackson,Mississippi,173514,NA,NA,NA,NA,NA
159,Alexandria,Virginia,139966,NA,NA,NA,NA,NA
160,Hayward,California,144186,NA,NA,"16,297 – 11.3","31,090 – 21.6","4,290 – 3.0"
161,Lancaster,California,156633,NA,NA,NA,NA,NA
162,Lakewood,Colorado,142980,NA,NA,NA,NA,NA
163,Clarksville,Tennessee,132929,NA,NA,NA,NA,NA
164,Palmdale,California,152750,NA,NA,NA,NA,NA
165,Salinas,California,150441,NA,NA,NA,NA,NA
166,Springfield,Massachusetts,153060,51.8,36.7,22.3,2.4,NA
167,Hollywood,Florida,140768,NA,NA,NA,NA,NA
168,Pasadena,Texas,149043,NA,NA,NA,NA,NA
169,Sunnyvale,California,140081,NA,NA,"2,533 (1.8)","57,012 (40.7)",594 (0.4)
170,Macon,Georgia,91351,NA,NA,NA,NA,NA
171,Kansas City,Kansas,145786,52.2,40.2,26.8,2.7,NA
172,Pomona,California,149058,48.0,12.5,7.3,8.5,NA
173,Escondido,California,143911,NA,NA,NA,NA,NA
174,Killeen,Texas,127921,NA,NA,NA,NA,NA
175,Naperville,Illinois,141853,NA,NA,NA,NA,NA
176,Joliet,Illinois,147433,NA,NA,NA,NA,NA
177,Bellevue,Washington,122363,NA,NA,NA,NA,NA
178,Rockford,Illinois,152871,NA,NA,NA,NA,NA
179,Savannah,Georgia,136286,NA,NA,NA,NA,NA
180,Paterson,New Jersey,146199,NA,NA,NA,NA,NA
181,Torrance,California,145438,NA,NA,NA,NA,NA
182,Bridgeport,Connecticut,144229,NA,NA,NA,NA,NA
183,McAllen,Texas,129877,NA,NA,NA,NA,NA
184,Mesquite,Texas,139824,NA,NA,NA,NA,NA
185,Syracuse,New York,145170,NA,NA,NA,NA,NA
186,Midland,Texas,111147,NA,NA,NA,NA,NA
187,Pasadena,California,137122,55.8,38.8,10.6,14.3,NA
188,Murfreesboro,Tennessee,108755,NA,NA,NA,NA,NA
189,Miramar,Florida,122041,NA,NA,NA,NA,NA
190,Dayton,Ohio,141527,NA,NA,NA,NA,NA
191,Fullerton,California,135161,NA,NA,NA,NA,NA
192,Olathe,Kansas,125872,NA,NA,NA,NA,NA
193,Orange,California,136416,NA,NA,NA,NA,NA
194,Thornton,Colorado,118772,NA,NA,NA,NA,NA
195,Roseville,California,118788,NA,NA,NA,NA,NA
196,Denton,Texas,113383,NA,NA,NA,NA,NA
197,Waco,Texas,124805,NA,NA,NA,NA,NA
198,Surprise,Arizona,117517,NA,NA,NA,NA,NA
199,Carrollton,Texas,119097,NA,NA,NA,NA,NA
200,West Valley City,Utah,129480,NA,NA,NA,NA,NA
201,Charleston,South Carolina,120083,NA,NA,NA,NA,NA
202,Warren,Michigan,134056,NA,NA,NA,NA,NA
203,Hampton,Virginia,137436,NA,NA,NA,NA,NA
204,Gainesville,Florida,124354,NA,NA,NA,NA,NA
205,Visalia,California,124442,NA,NA,NA,NA,NA
206,Coral Springs,Florida,121096,NA,NA,NA,NA,NA
207,Columbia,South Carolina,129272,NA,NA,NA,NA,NA
208,Cedar Rapids,Iowa,126326,NA,NA,NA,NA,NA
209,Sterling Heights,Michigan,129699,NA,NA,NA,NA,NA
210,New Haven,Connecticut,129779,NA,NA,NA,NA,NA
211,Stamford,Connecticut,122643,NA,NA,NA,NA,NA
212,Concord,California,122067,NA,NA,"3,991 – 3.3","13,219 – 10.8",744 – 0.6
213,Kent,Washington,92411,NA,NA,NA,NA,NA
214,Santa Clara,California,116468,NA,NA,"2,929 – 2.5","43,531 – 37.4",604 – 0.5
215,Elizabeth,New Jersey,124969,NA,NA,NA,NA,NA
216,Round Rock,Texas,99887,NA,NA,NA,NA,NA
217,Thousand Oaks,California,126683,NA,NA,NA,NA,NA
218,Lafayette,Louisiana,120623,NA,NA,NA,NA,NA
219,Athens,Georgia,115452,NA,NA,NA,NA,NA
220,Topeka,Kansas,127473,NA,NA,NA,NA,NA
221,Simi Valley,California,124237,NA,NA,NA,NA,NA
222,Fargo,North Dakota,105549,NA,NA,NA,NA,NA
223,Norman,Oklahoma,110925,NA,NA,NA,NA,NA
224,Columbia,Missouri,108500,NA,NA,NA,NA,NA
225,Abilene,Texas,117063,NA,NA,NA,NA,NA
226,Wilmington,North Carolina,106476,NA,NA,NA,NA,NA
227,Hartford,Connecticut,124775,NA,NA,NA,NA,NA
228,Victorville,California,115903,NA,NA,NA,NA,NA
229,Pearland,Texas,91252,NA,NA,NA,NA,NA
230,Vallejo,California,115942,32.8,25.0,22.1,24.9,NA
231,Ann Arbor,Michigan,113934,73.0,70.4,7.7,14.4,NA
232,Berkeley,California,112580,NA,NA,"10,896 – 9.7","21,499 – 19.1",170 – 0.2
233,Allentown,Pennsylvania,118032,NA,NA,NA,NA,NA
234,Richardson,Texas,99223,NA,NA,NA,NA,NA
235,Odessa,Texas,99940,NA,NA,NA,NA,NA
236,Arvada,Colorado,106433,NA,NA,NA,NA,NA
237,Cambridge,Massachusetts,105162,66.6,62.1,11.7,15.1,NA
238,Sugar Land,Texas,78817,NA,NA,NA,NA,NA
239,Beaumont,Texas,118296,NA,NA,NA,NA,NA
240,Lansing,Michigan,114297,NA,NA,NA,NA,NA
241,Evansville,Indiana,117429,NA,NA,NA,NA,NA
242,Rochester,Minnesota,106769,NA,NA,NA,NA,NA
243,Independence,Missouri,116830,NA,NA,NA,NA,NA
244,Fairfield,California,105321,NA,NA,NA,NA,NA
245,Provo,Utah,112488,NA,NA,NA,NA,NA
246,Clearwater,Florida,107685,NA,NA,NA,NA,NA
247,College Station,Texas,93857,NA,NA,NA,NA,NA
248,West Jordan,Utah,103712,NA,NA,NA,NA,NA
249,Carlsbad,California,105328,NA,NA,NA,NA,NA
250,El Monte,California,113475,NA,NA,NA,NA,NA
251,Murrieta,California,103466,NA,NA,NA,NA,NA
252,Temecula,California,100097,NA,NA,NA,NA,NA
253,Springfield,Illinois,116250,NA,NA,NA,NA,NA
254,Palm Bay,Florida,103190,NA,NA,NA,NA,NA
255,Costa Mesa,California,109960,NA,NA,NA,NA,NA
256,Westminster,Colorado,106114,NA,NA,NA,NA,NA
257,North Charleston,South Carolina,97471,NA,NA,NA,NA,NA
258,Miami Gardens,Florida,107167,NA,NA,NA,NA,NA
259,Manchester,New Hampshire,109565,NA,NA,NA,NA,NA
260,High Point,North Carolina,104371,NA,NA,NA,NA,NA
261,Downey,California,111772,NA,NA,NA,NA,NA
262,Clovis,California,95631,NA,NA,NA,NA,NA
263,Pompano Beach,Florida,99845,NA,NA,NA,NA,NA
264,Pueblo,Colorado,106595,NA,NA,NA,NA,NA
265,Elgin,Illinois,108188,NA,NA,NA,NA,NA
266,Lowell,Massachusetts,106519,NA,NA,NA,NA,NA
267,Antioch,California,102372,NA,NA,"17,045 - 16.7","10,322 - 10.1",743 - 0.7
268,West Palm Beach,Florida,99919,NA,NA,NA,NA,NA
269,Peoria,Illinois,115007,NA,NA,NA,NA,NA
270,Everett,Washington,103019,NA,NA,NA,NA,NA
271,Ventura,California,106433,NA,NA,NA,NA,NA
272,Centennial,Colorado,100377,NA,NA,NA,NA,NA
273,Lakeland,Florida,97422,NA,NA,NA,NA,NA
274,Gresham,Oregon,105594,NA,NA,NA,NA,NA
275,Richmond,California,103701,NA,NA,"26,872 – 25.9","13,783 – 13.3",462 – 0.4
276,Billings,Montana,104170,NA,NA,NA,NA,NA
277,Inglewood,California,109673,NA,NA,NA,NA,NA
278,Broken Arrow,Oklahoma,98850,NA,NA,NA,NA,NA
279,Sandy Springs,Georgia,93853,NA,NA,NA,NA,NA
280,Jurupa Valley,California,0,NA,NA,NA,NA,NA
281,Hillsboro,Oregon,91611,NA,NA,NA,NA,NA
282,Waterbury,Connecticut,110366,NA,NA,NA,NA,NA
283,Santa Maria,California,99553,NA,NA,NA,NA,NA
284,Boulder,Colorado,97385,NA,NA,NA,NA,NA
285,Greeley,Colorado,92889,NA,NA,NA,NA,NA
286,Daly City,California,101123,NA,NA,3284,55711,752
287,Meridian,Idaho,75092,NA,NA,NA,NA,NA
288,Lewisville,Texas,95290,NA,NA,NA,NA,NA
289,Davie,Florida,91992,NA,NA,NA,NA,NA
290,West Covina,California,106098,NA,NA,NA,NA,NA
291,League City,Texas,83560,NA,NA,NA,NA,NA
